date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:16:16	10737/10737	U-----	200	untouched ('')	application/javascript	etag:W/%22d86dcdbfed4c273c4742744941259902%22	https://static.parastorage.com/unpkg/react@18.2.0/umd/react.production.min.js	D:/Projet%20mignon/dowope2/static.parastorage.com/unpkg/react@18.2.0/umd/react.production.min.js	(from https://moglokossi01.wixsite.com/dowope)
21:16:18	131882/131882	U-----	200	untouched ('')	application/javascript	etag:W/%2264141792105ea4861f9f33294d65ab81%22	https://static.parastorage.com/unpkg/react-dom@18.2.0/umd/react-dom.production.min.js	D:/Projet%20mignon/dowope2/static.parastorage.com/unpkg/react-dom@18.2.0/umd/react-dom.production.min.js	(from https://moglokossi01.wixsite.com/dowope)
21:16:19	7305/7305	U-----	200	untouched ('')	application/javascript	etag:W/%22a76f370ea20b812382ebe915671e3e24%22	https://static.parastorage.com/services/tag-manager-client/1.827.0/siteTags.bundle.min.js	D:/Projet%20mignon/dowope2/static.parastorage.com/services/tag-manager-client/1.827.0/siteTags.bundle.min.js	(from https://moglokossi01.wixsite.com/dowope)
21:16:20	559/559	U-----	200	untouched ('')	application/javascript	etag:W/%229d1a493b511891ff2beb1359384eb679%22	https://static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	D:/Projet%20mignon/dowope2/static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	(from https://moglokossi01.wixsite.com/dowope)
21:16:21	137771/137771	U-----	200	untouched ('')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	D:/Projet%20mignon/dowope2/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://moglokossi01.wixsite.com/dowope)
21:16:21	30907/30907	U-----	200	untouched ('')	application/javascript	etag:W/%225e646fa090a760653cfa56c727bb5a13%22	https://static.parastorage.com/services/wix-perf-measure/1.1095.0/wix-perf-measure.umd.min.js	D:/Projet%20mignon/dowope2/static.parastorage.com/services/wix-perf-measure/1.1095.0/wix-perf-measure.umd.min.js	(from https://moglokossi01.wixsite.com/dowope)
21:16:25	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2021:16:26%20GMT	https://moglokossi01.wixsite.com/dowope/robots.txt	D:/Projet%20mignon/dowope2/moglokossi01.wixsite.com/dowope/robots.1a.delayed	(from https://moglokossi01.wixsite.com/dowope/blank-2)
21:16:26	99241/99241	U-----	200	untouched ('')	image/jpeg	date:Tue,%2019%20Mar%202024%2017:08:46%20GMT	https://static.wixstatic.com/media/2578954972c24c89b6e611e9a20c3e42.jpg/v1/fill/w_940,h_440,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/Startup.jpg	D:/Projet%20mignon/dowope2/static.wixstatic.com/media/2578954972c24c89b6e611e9a20c3e42.jpg/v1/fill/w_940,h_440,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/Startup.jpg	(from https://moglokossi01.wixsite.com/dowope/blank-2)
21:16:27	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2021:16:28%20GMT	https://moglokossi01.wixsite.com/	D:/Projet%20mignon/dowope2/moglokossi01.wixsite.com/index.html	(from https://moglokossi01.wixsite.com/dowope)
21:16:27	2641/2641	U-----	200	untouched ('')	image/jpeg	date:Tue,%2019%20Mar%202024%2017:08:47%20GMT	https://static.wixstatic.com/media/bd236043d97c4c799bf0101fd2a50e10.jpg/v1/fill/w_127,h_66,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Stand%20Up%20Meeting.jpg	D:/Projet%20mignon/dowope2/static.wixstatic.com/media/bd236043d97c4c799bf0101fd2a50e10.jpg/v1/fill/w_127,h_66,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Stand%20Up%20Meeting.jpg	(from https://moglokossi01.wixsite.com/dowope/blank-2)
21:16:28	1171/1171	U-----	200	untouched ('')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	D:/Projet%20mignon/dowope2/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://moglokossi01.wixsite.com/dowope)
21:16:28	2569/2569	U-----	200	untouched ('')	image/jpeg	date:Tue,%2019%20Mar%202024%2017:08:47%20GMT	https://static.wixstatic.com/media/11062b_23038e254b914d11b792ca46e48b637f~mv2_d_5000_3333_s_4_2.jpg/v1/fill/w_99,h_66,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Young%20Businesswomen.jpg	D:/Projet%20mignon/dowope2/static.wixstatic.com/media/11062b_23038e254b914d11b792ca46e48b637f_mv2_d_5000_3333_s_4_2.jpg/v1/fill/w_99,h_66,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Young%20Businesswomen.jpg	(from https://moglokossi01.wixsite.com/dowope/blank-2)
21:16:28	2613/2613	U-----	200	untouched ('')	image/jpeg	date:Tue,%2019%20Mar%202024%2019:30:29%20GMT	https://static.wixstatic.com/media/11062b_6694be830cd1452ba1d012dc3593e29e~mv2.jpg/v1/fill/w_123,h_82,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_6694be830cd1452ba1d012dc3593e29e~mv2.jpg	D:/Projet%20mignon/dowope2/static.wixstatic.com/media/11062b_6694be830cd1452ba1d012dc3593e29e_mv2.jpg/v1/fill/w_123,h_82,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_6694be830cd1452ba1d012dc3593e29e_mv2.jpg	(from https://moglokossi01.wixsite.com/dowope/blank-2)
21:16:28	3030/3030	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2021:16:30%20GMT	https://moglokossi01.wixsite.com/dowope/feed.xml	D:/Projet%20mignon/dowope2/moglokossi01.wixsite.com/dowope/feed.1c.delayed	(from https://moglokossi01.wixsite.com/dowope/blank-2)
21:16:29	259/259	U-----	200	untouched ('')	text/xml	etag:W/%22103-9aKZ/nEN1imP5AhSY5K02VU9vAs%22	https://moglokossi01.wixsite.com/dowope/sitemap.xml	D:/Projet%20mignon/dowope2/moglokossi01.wixsite.com/dowope/sitemap.xml	(from https://moglokossi01.wixsite.com/dowope/blank-2)
21:16:30	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2021:16:31%20GMT	https://moglokossi01.wixsite.com/dowope/${n.uri}	D:/Projet%20mignon/dowope2/moglokossi01.wixsite.com/dowope/${n.1d.delayed	(from https://moglokossi01.wixsite.com/dowope/blank-2)
21:16:32	3030/3030	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Mar%202024%2021:16:33%20GMT	https://moglokossi01.wixsite.com/dowope/decodeURIComponent(e	D:/Projet%20mignon/dowope2/moglokossi01.wixsite.com/dowope/decodeURIComponent(e.1e.delayed	(from https://moglokossi01.wixsite.com/dowope/blank-2)
